id,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,geometry
49760644,Primary Urban Center,Honolulu,21.28139,-157.82599,POINT (-157.82599 21.28139)
49760679,Primary Urban Center,Honolulu,21.27969,-157.82665,POINT (-157.82665 21.27969)
49904726,Puna,Hawaii,19.426191,-155.232437,POINT (-155.232437 19.426191)
49760740,North Kona,Hawaii,19.63616,-155.99174,POINT (-155.99174 19.63616)
49904867,Puna,Hawaii,19.426191,-155.232437,POINT (-155.232437 19.426191)
49766581,South Kohala,Hawaii,19.93342,-155.79007,POINT (-155.79007 19.93342)
49769785,North Shore Kauai,Kauai,22.22757,-159.47801,POINT (-159.47801 22.22757)
49772084,Lahaina,Maui,20.93846,-156.69082,POINT (-156.69082 20.93846)
49836109,South Hilo,Hawaii,19.71231,-155.07482,POINT (-155.07482 19.71231)
49837685,South Kohala,Hawaii,19.93731,-155.87438,POINT (-155.87438 19.93731)
49838078,Primary Urban Center,Honolulu,21.31149,-157.85904,POINT (-157.85904 21.31149)
49838818,Primary Urban Center,Honolulu,21.30018,-157.83119,POINT (-157.83119 21.30018)
49904985,Puna,Hawaii,19.426191,-155.232437,POINT (-155.232437 19.426191)
49840645,Kihei-Makena,Maui,20.713654,-156.443771,POINT (-156.443771 20.713654)
49844311,Koolaupoko,Honolulu,21.40479,-157.74184,POINT (-157.74184 21.40479)
49772391,Kapaa-Wailua,Kauai,22.1595,-159.30961,POINT (-159.30961 22.1595)
49905170,Puna,Hawaii,19.426191,-155.232437,POINT (-155.232437 19.426191)
49772397,Primary Urban Center,Honolulu,21.28589,-157.83989,POINT (-157.83989 21.28589)
49847628,Primary Urban Center,Honolulu,21.27576,-157.823,POINT (-157.823 21.27576)
49851029,Ewa,Honolulu,21.33066,-158.1204,POINT (-158.1204 21.33066)
49905304,Puna,Hawaii,19.426144,-155.232803,POINT (-155.232803 19.426144)
49851144,Lahaina,Maui,20.96823,-156.67833,POINT (-156.67833 20.96823)
49772787,Primary Urban Center,Honolulu,21.27496,-157.82424,POINT (-157.82424 21.27496)
49905914,Primary Urban Center,Honolulu,21.271921,-157.821869,POINT (-157.821869 21.271921)
49773648,North Shore Kauai,Kauai,22.227783,-159.474915,POINT (-159.474915 22.227783)
49773723,Primary Urban Center,Honolulu,21.285025,-157.836578,POINT (-157.836578 21.285025)
49909548,North Shore Kauai,Kauai,22.227692,-159.481277,POINT (-159.481277 22.227692)
49909644,Primary Urban Center,Honolulu,21.27816,-157.82254,POINT (-157.82254 21.27816)
49775441,North Shore Kauai,Kauai,22.21956,-159.49375,POINT (-159.49375 22.21956)
49776903,North Kona,Hawaii,19.59515,-155.9691,POINT (-155.9691 19.59515)
49854131,Lahaina,Maui,20.9499,-156.68729,POINT (-156.68729 20.9499)
49910642,Lahaina,Maui,20.97167,-156.68051,POINT (-156.68051 20.97167)
49912624,Ewa,Honolulu,21.34702,-158.12539,POINT (-158.12539 21.34702)
49855972,Primary Urban Center,Honolulu,21.28739,-157.83152,POINT (-157.83152 21.28739)
49856368,Kihei-Makena,Maui,20.74879,-156.45756,POINT (-156.45756 20.74879)
49778714,Hamakua,Hawaii,20.05229,-155.50563,POINT (-155.50563 20.05229)
49780758,North Shore Oahu,Honolulu,21.68068,-158.03203,POINT (-158.03203 21.68068)
49780981,Wailuku-Kahului,Maui,20.88856,-156.45028,POINT (-156.45028 20.88856)
49859476,Lahaina,Maui,20.958442683494106,-156.6853340804525,POINT (-156.6853340804525 20.958442683494106)
49912726,Koolaupoko,Honolulu,21.38288,-157.72837,POINT (-157.72837 21.38288)
49860222,Primary Urban Center,Honolulu,21.28461,-157.8355,POINT (-157.8355 21.28461)
49781028,Puna,Hawaii,19.49306,-154.90438,POINT (-154.90438 19.49306)
49782043,Primary Urban Center,Honolulu,21.287142,-157.833038,POINT (-157.833038 21.287142)
49913406,North Kona,Hawaii,19.60851,-155.97772,POINT (-155.97772 19.60851)
