id,date
621491398483003882,2022-05-07
110400688,2016-10-26
110868013,2016-10-29
112114551,2016-11-04
113102152,2016-11-10
113642504,2016-11-13
114264084,2016-11-17
115018004,2016-11-21
116422989,2016-11-30
120276248,2016-12-09
120871044,2016-12-12
121103968,2016-12-14
121463757,2016-12-17
121987747,2016-12-20
122249244,2016-12-22
122535145,2016-12-24
123027078,2016-12-27
124178551,2017-01-01
126584175,2017-01-13
127157847,2017-01-16
127527211,2017-01-19
128383991,2017-01-24
128483389,2017-01-25
129678677,2017-02-01
129761437,2017-02-02
130258206,2017-02-05
130664420,2017-02-07
132175237,2017-02-16
135929612,2017-03-07
136052901,2017-03-08
138507616,2017-03-20
138923553,2017-03-22
139970587,2017-03-27
142045507,2017-04-06
143997456,2017-04-14
147693131,2017-04-28
152115068,2017-05-15
155424541,2017-05-28
156384750,2017-05-30
161206286,2017-06-17
164858317,2017-06-29
166618423,2017-07-04
167318657,2017-07-06
168410295,2017-07-09
169867698,2017-07-14
3533195,2013-02-13
3697587,2013-03-05
3748324,2013-03-11
3780376,2013-03-14
3814481,2013-03-18
3938733,2013-03-29
3994806,2013-04-02
4040899,2013-04-05
4155536,2013-04-15
4264774,2013-04-23
4387841,2013-05-02
4414225,2013-05-04
4442708,2013-05-06
4542293,2013-05-12
4595415,2013-05-14
4649539,2013-05-18
4673682,2013-05-20
4724992,2013-05-22
4799251,2013-05-27
4873634,2013-05-30
4960259,2013-06-04
5037849,2013-06-09
5076685,2013-06-11
5156147,2013-06-16
273088920,2018-06-05
310968202,2018-08-20
320866293,2018-09-09
323793949,2018-09-16
179308229,2017-08-07
182694090,2017-08-15
185280258,2017-08-21
188739575,2017-08-30
200113737,2017-10-04
212150092,2017-11-16
344716246,2018-11-04
355182496,2018-12-03
365388891,2019-01-01
216514590,2017-12-04
217698020,2017-12-10
218695630,2017-12-14
218846369,2017-12-15
220226456,2017-12-21
220915949,2017-12-24
5224894,2013-06-19
5288900,2013-06-23
5409418,2013-06-29
5538351,2013-07-05
5578048,2013-07-07
5725935,2013-07-14
5804829,2013-07-17
5961854,2013-07-24
6128009,2013-07-31
6297178,2013-08-07
6342931,2013-08-09
6727042,2013-08-23
406633430,2019-01-30
409316505,2019-02-07
425910031,2019-03-19
431575098,2019-04-01
436080445,2019-04-12
456664124,2019-05-22
461840464,2019-06-01
465760114,2019-06-08
555170029,2019-10-27
619133470,2020-03-16
654154283,2020-08-21
598298878024486034,2022-04-05
608455927701609034,2022-04-19
173965155,2017-07-24
6843954,2013-08-27
6931170,2013-08-31
6979941,2013-09-02
7111158,2013-09-07
7190118,2013-09-10
